系統編號,英文名稱,中文名稱,圖片,備註,更新時間
3192373,generating line,生成線；母線,,,2017/7/24
3192374,geometric mean,幾何平均數；幾何平均值；等比中項,,,2017/7/24
3192375,geometric progression,等比數列,,,2017/7/24
3192376,geometric sequence,等比數列,,,2017/7/24
3192377,geometric series,幾何級數；等比級數,,,2017/7/24
3192378,gram,公克,,,2017/7/24
3192379,graph of function,函數圖形,,,2017/7/24
3192380,great circle of sphere,球的大圓,,,2017/7/24
3192381,greater than,大於,,,2017/7/24
3192382,greatest common divisor,最大公因子；最大公因數,,,2017/7/24
3192383,greatest common factor,最大公因子；最大公因數,,,2017/7/24
3192384,guadrant angle,象限角,,,2017/7/24
3192385,half angle formula,半角公式,,,2017/7/24
3192386,half line,半[直]線；射線,,,2017/7/24
3192387,Heron formula,海龍公式,,,2017/7/24
3192388,highest common factor,最高公因式,,,2017/7/24
3192389,histogram,直方圖,,,2017/7/24
3192390,horizontal asymptote　,水平漸近線,,,2017/7/24
3192391,horizontal line,水平線,,,2017/7/24
3192392,hyperbola,雙曲線,,,2017/7/24
3192393,hypotenuse　　　　　　　　　　　,斜邊,,,2017/7/24
3192394,identity matrix,單位方陣；單位矩陣,,,2017/7/24
3192395,image,像點；像；鏡像,,,2017/7/24
3192396,imaginary circle,虛圓,,,2017/7/24
3192397,imaginary number,虛數,,,2017/7/24
3192398,imaginary part,虛部,,,2017/7/24
3192399,imaginary root,虛根,,,2017/7/24
3192400,imaginary unit,虛數單位,,,2017/7/24
3192401,impossible event,不可能事件,,,2017/7/24
3192402,incenter　　　　　　　　　　　,內心,,,2017/7/24
3192403,inclination,傾角；斜角,,,2017/7/24
3192404,inclusion-exclusion principle,取捨原理；排容原理,,,2017/7/24
3192405,inconsistent system of equations,矛盾方程組,,,2017/7/24
3192406,increasing,遞增,,,2017/7/24
3192407,increasing function,遞增函數,,,2017/7/24
3192408,independent events,獨立事件,,,2017/7/24
3192409,independent variable,自變量；自變數,,,2017/7/24
3192410,independent　,獨立,,,2017/7/24
3192411,indeterminate,不確定；未定元,,,2017/7/24
3192412,indirect proof,間接證明,,,2017/7/24
3192413,inequality　,不等式,,,2017/7/24
3192414,inferential statistics,推論統計　,,,2017/7/24
3192415,infinite sequence,無窮序列；無窮數列,,,2017/7/24
